form	lemma	POS	morph
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཡིན་	ཡིན་	NO_POS
གྱིས་	གིས་	PART
།		PUNCT
ད་	ད་	ADV
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཀྱི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
གཟུང་བ་	གཟུང་བ་	VERB
བྱ་བ་	བྱ་བ་	VERB
དགོས་པ་	དགོས་པ་	VERB
ས་	གིས་	PART
དེ་	དེ་	DET
རྣམས་	རྣམས་	DET
ཁྲོལ་	ཁྲོལ་	VERB
ཅིག་	ཅིག་	PART
གསུང་བ་	གསུང་བ་	VERB
ལ་	ལ་	ADP
།		PUNCT
དགྲོལ་བ་	དགྲོལ་བ་	VERB
ར་	ལ་	PART
མ་ནུ་	མ་ནུ་	NO_POS
ས་	གིས་	PART
སོ་	སོ་	PART
། །		PUNCT
དེ་	དེ་	DET
ར་	ལ་	PART
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཞལ་ལ་	ཞལ་ལ་	NO_POS
ས་	གིས་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
བྱེད་པ་	བྱེད་པ་	VERB
འི་	གི་	PART
དུས་བྱ་བ་	དུས་བྱ་བ་	NO_POS
རྣམ་ཤེས་	རྣམ་ཤེས་	NOUN
དང་	དང་	NO_POS
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཀྱི་	གི་	PART
རླུང་	རླུང་	NOUN
ཆ་མཉམ་པ་	ཆ་མཉམ་པ་	NO_POS
ས་	གིས་	PART
ཚ་	ཚ་	VERB
གཅད་པ་	གཅད་པ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
རྗེས་སུ་	རྗེས་སུ་	OTHER
གཟུང་བ་	གཟུང་བ་	VERB
གཉིས་ཀ་	གཉིས་ཀ་	OTHER
ནུས་པ་	ནུས་པ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	སུ་	ADP
བྱེད་པ་	བྱེད་པ་	VERB
ལ་	ལ་	ADP
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ཀྱིས་	གིས་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
གཟུང་	གཟུང་	VERB
མི་	མི་	PART
ནུས་པ་	ནུས་པ་	VERB
ར་	ལ་	PART
འདུག་པ་	འདུག་པ་	VERB
ས་	གིས་	PART
།		PUNCT
ད་དུང་	ད་དུང་	ADV
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
ལ་མ་	ལ་མ་	NO_POS
བབ་བོ་	བབ་བོ་	VERB
གསུངས་	གསུངས་	VERB
ན་	ནས་	PART
།		PUNCT
དུད་འགྲོ་	དུད་འགྲོ་	NOUN
དེ་	དེ་	DET
རྣམས་	རྣམས་	DET
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
གྱིས་	གིས་	PART
བཀྲོལ་	བཀྲོལ་	VERB
ན་	ནས་	PART
བཏང་	བཏང་	VERB
ངོ་	ངོ་	PART
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
གྱིས་	གིས་	PART
མ་	མ་	PART
གནང་	གནང་	NO_POS
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
བྱེད་	བྱེད་	VERB
དོ་	གོ་	PART
ཞེ་	ཅེས་	PART
ང་རྒྱལ་	ང་རྒྱལ་	NOUN
སྐྱེས་པ་	སྐྱེས་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
ན་རེ་	ན་རེ་	ADP
།		PUNCT
དེ་	དེ་	DET
ཝཱི་		NON_WORD
ཀོ་ཊ་	ཀོ་ཊ་	NO_POS
སྟེ་	སྟེ་	PART
ལྷ་མོ་	ལྷ་མོ་	NOUN
འི་	གི་	PART
མཁའ་	མཁའ་	NOUN
དུ་མ་	དུ་མ་	ADJ
འགྲོ་	འགྲོ་	VERB
།		PUNCT
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
ས་	གིས་	PART
བར་ཆད་	བར་ཆད་	NOUN
བྱེད་	བྱེད་	VERB
དོ་	གོ་	PART
གསུང་	གསུང་	VERB
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
ཀྲྀཥྞ་པ་	ཀྲྀཥྞ་པ་	NON_WORD
འཁོར་	འཁོར་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
ས་	གིས་	PART
ཤར་ཕྱོགས་	ཤར་ཕྱོགས་	NOUN
བྷཾ་		NON_WORD
ག་ལ་	ག་ལ་	NO_POS
རུ་	ལ་	PART
བྱོན་	བྱོན་	VERB
ནས་ཆུ་	ནས་ཆུ་	NO_POS
ཁ་	ཁ་	PRON
ཞིག་	ཅིག་	PART
ཏུ་	ལ་	PART
བཞུགས་པ་	བཞུགས་པ་	VERB
ན་	ན་	ADP
།		PUNCT
མཛེ་མོ་	མཛེ་མོ་	NO_POS
ཞིག་	ཅིག་	PART
ང་	ང་	PRON
སྒྲོལ་	སྒྲོལ་	VERB
ཟེར་བ་	ཟེར་བ་	VERB
ལ་	ལ་	ADP
༑		PUNCT
འདི་	འདི་	DET
ཁུ་	ཁུ་	NOUN
ན་	ན་	ADP
མཛེ་	མཛེ་	NO_POS
འགོས་པ་	འགོས་པ་	NO_POS
ས་	གིས་	PART
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
ཚེ་	ཚེ་	NOUN
གཅིག་	གཅིག་	NUM
གིས་	གིས་	PART
བསྒྲུབ་པ་	བསྒྲུབ་པ་	VERB
འི་	གི་	PART
བར་ཆད་	བར་ཆད་	NOUN
དུ་	ལ་	PART
འགྲོ་	འགྲོ་	VERB
སྙམ་	སྙམ་	VERB
ན་	ནས་	PART
མ་	མ་	PART
བསྒྲལ་	བསྒྲལ་	NO_POS
ལོ་	ལོ་	NOUN
། །		PUNCT
འཁོར་	འཁོར་	NOUN
ཀུ་	ཀུ་	NO_POS
ས་	ས་	ADP
ལི་པ་	ལི་པ་	OTHER
ཞིག་	ཅིག་	PART
གིས་	གིས་	PART
བསྒྲལ་བ་	བསྒྲལ་བ་	VERB
ས་	གིས་	PART
།		PUNCT
ཀུ་	ཀུ་	NO_POS
ས་	ས་	ADP
ལི་པ་	ལི་པ་	OTHER
དེ་	དེ་	DET
ཧེ་རུ་ཀ་	ཧེ་རུ་ཀ་	NOUN
ར་	ལ་	PART
བྱ་	བྱ་	VERB
།		PUNCT
མཛེ་མོ་	མཛེ་མོ་	NO_POS
དེ་	དེ་	DET
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་	མ་	NOUN
བྱ་	བྱ་	VERB
ཏེ་	སྟེ་	PART
མཁའ་སྤྱོད་	མཁའ་སྤྱོད་	NOUN
དུ་	ལ་	PART
སོང་	སོང་	VERB
ངོ་	ངོ་	PART
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
ཕར་ཕྱིན་པ་	ཕར་ཕྱིན་པ་	NOUN
ས་	གིས་	PART
ཞིང་	ཞིང་	SCONJ
རྨོད་པ་	རྨོད་པ་	NO_POS
ཞིག་	ཅིག་	PART
དང་	དང་	NO_POS
ཕྲད་པ་	ཕྲད་པ་	VERB
ས་	གིས་	PART
།		PUNCT
རྨོད་པ་	རྨོད་པ་	NO_POS
དེ་	དེ་	DET
ས་	གིས་	PART
ཐུག་	ཐུག་	VERB
ཆང་ས་	ཆང་ས་	NOUN
འོག་	འོག་	NOUN
ཏུ་	ལ་	PART
སྦ་	སྦ་	PROPN
ས་	གིས་	PART
ན་	ནས་	PART
འདུག་པ་	འདུག་པ་	VERB
ལ་	ལ་	ADP
བསླངས་པ་	བསླངས་པ་	VERB
ས་	གིས་	PART
མ་	མ་	PART
སྟེར་	སྟེར་	VERB
།		PUNCT
མ་ཟད་	མ་ཟད་	NO_POS
ན་	ན་	ADP
རྡོ་	རྡོ་	NOUN
ཞིག་	ཅིག་	PART
གི་	གི་	PART
བ་	བ་	NOUN
ནས་ཆུ་	ནས་ཆུ་	NO_POS
བག་ཙམ་	བག་ཙམ་	OTHER
འཛག་པ་	འཛག་པ་	VERB
ཞིག་	ཅིག་	PART
འདུག་པ་	འདུག་པ་	VERB
ལ་	ལ་	ADP
འཐུངས་	འཐུངས་	VERB
ཟེ་	ཟེ་	VERB
།		PUNCT
དེ་	དེ་	DET
ས་	གིས་	PART
ང་	ང་	PRON
མི་	མི་	PART
ངོམས་	ངོམས་	VERB
བྱས་པ་	བྱས་པ་	VERB
ས་	གིས་	PART
།		PUNCT
འཐུང་	འཐུང་	NO_POS
ནུས་པ་	ནུས་པ་	VERB
ར་	ལ་	PART
གྱིས་	གིས་	PART
ཤིག་	ཅིག་	PART
ངོམས་པ་	ངོམས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འི་	གི་	PART
ཟེ་	ཟེ་	VERB
།		PUNCT
དེ་	དེ་	DET
ར་	ལ་	PART
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
གྱིས་	གིས་	PART
འཐུངས་པ་	འཐུངས་པ་	VERB
ས་	གིས་	PART
ཆུ་	ཆུ་	NOUN
ཟད་པ་		
མ་	མ་	PART
གྱུར་	གྱུར་	VERB
ཏོ་	གོ་	PART
། །		PUNCT
དེ་	དེ་	DET
ར་	ལ་	PART
ཆང་མ་	ཆང་མ་	NO_POS
བྱིན་པ་	བྱིན་པ་	VERB
ལ་	ལ་	ADP
གླང་	གླང་	NOUN
ལ་	ལ་	ADP
སྡིགས་མཛུབ་	སྡིགས་མཛུབ་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
ས་	གིས་	PART
གླང་	གླང་	NOUN
དེ་	དེ་	DET
ཤི་བ་	ཤི་བ་	VERB
ལ་	ལ་	ADP
།		PUNCT
རྨོད་པ་	རྨོད་པ་	NO_POS
དེ་	དེ་	DET
ན་རེ་	ན་རེ་	ADP
ཁྱེད་	ཁྱེད་	PRON
ནང་པ་	ནང་པ་	NOUN
སངས་རྒྱས་པ་	སངས་རྒྱས་པ་	NOUN
འི་	གི་	PART
རྣལ་འབྱོར་པ་	རྣལ་འབྱོར་པ་	NOUN
ར་	ལ་	PART
འདུག་པ་	འདུག་པ་	VERB
ས་	གིས་	PART
།		PUNCT
ད་	ད་	ADV
འདི་	འདི་	DET
རྗེས་སུ་	རྗེས་སུ་	OTHER
གཟུང་	གཟུང་	VERB
དགོས་	དགོས་	VERB
ཀྱིས་	གིས་	PART
གསོས་	གསོས་	VERB
ཤིག་	ཅིག་	PART
ཟེར་བ་	ཟེར་བ་	VERB
ལ་	ལ་	ADP
གསོ་བ་	གསོ་བ་	VERB
ར་	ལ་	PART
མ་ནུ་	མ་ནུ་	NO_POS
ས་	གིས་	PART
སོ་	སོ་	PART
། །		PUNCT
དེ་	དེ་	DET
ར་	ལ་	PART
རྨོད་པ་	རྨོད་པ་	NO_POS
དེ་	དེ་	DET
རང་	རང་	PRON
གིས་	གིས་	PART
གསོས་	གསོས་	VERB
ཏེ་	སྟེ་	PART
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
སྐྱེངས་པ་	སྐྱེངས་པ་	NON_WORD
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
ཏོ་	གོ་	PART
། །		PUNCT
ཡང་	ཀྱང་	PART
དེ་ནས་	དེ་ནས་	NO_POS
ཕར་ཕྱིན་པ་	ཕར་ཕྱིན་པ་	NOUN
དང་	དང་	NO_POS
སྐྱེད་མོས་ཚལ་	སྐྱེད་མོས་ཚལ་	NOUN
ཞིག་	ཅིག་	PART
ན་	ན་	ADP
།		PUNCT
ན་	ན་	ADP
ཆུང་	ཆུང་	VERB
གཞོན་ནུ་	གཞོན་ནུ་	ADJ
ཞིག་	ཅིག་	PART
འདུག་པ་	འདུག་པ་	VERB
ལ་	ལ་	ADP
ཤིང་ཐོག་	ཤིང་ཐོག་	NOUN
སྐྱུར་མོ་	སྐྱུར་མོ་	OTHER
འཛམ་བུ་	འཛམ་བུ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ཆུ་འབྱུང་བ་	ཆུ་འབྱུང་བ་	NO_POS
ཞིག་	ཅིག་	PART
ཡོད་པ་	ཡོད་པ་	VERB
བསླངས་པ་	བསླངས་པ་	VERB
ས་	གིས་	PART
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
རང་	རང་	PRON
ནུས་པ་	ནུས་པ་	VERB
དང་	དང་	NO_POS
ལྡན་པ་	ལྡན་པ་	VERB
ར་	ལ་	PART
རློམ་པ་	རློམ་པ་	VERB
ཞིག་	ཅིག་	PART
འདུག་པ་	འདུག་པ་	VERB
།		PUNCT
ནུས་པ་	ནུས་པ་	VERB
ས་	གིས་	PART
ལོངས་	ལོངས་	VERB
ཟེ་	ཟེ་	VERB
།		PUNCT
དེ་	དེ་	DET
ར་	ལ་	PART
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
གྱིས་	གིས་	PART
ཤིང་ཐོག་	ཤིང་ཐོག་	NOUN
ལྟུང་བ་	ལྟུང་བ་	VERB
འི་	གི་	PART
ལྟ་སྟངས་	ལྟ་སྟངས་	NOUN
བྱས་པ་	བྱས་པ་	VERB
ས་	གིས་	PART
མ་	མ་	NOUN
ལྷུང་	ལྷུང་	VERB
གིན་	གིན་	PART
བྱུང་བ་	བྱུང་བ་	VERB
ལ་	ལ་	ADP
།		PUNCT
མོ་	མོ་	VERB
མིག་	མིག་	NOUN
གི་	གི་	PART
རྗེས་མ་	རྗེས་མ་	NO_POS
བཏེག་	བཏེག་	VERB
བྱས་པ་	བྱས་པ་	VERB
ཙམ་	ཙམ་	DET
གྱིས་	གིས་	PART
སླར་ཡང་	སླར་ཡང་	OTHER
འབྱར་	འབྱར་	NO_POS
ཞིང་	ཞིང་	SCONJ
སོང་	སོང་	VERB
སྟེ་	སྟེ་	PART
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
སྐྱེངས་		NON_WORD
སོ་	སོ་	PART
། །		PUNCT
ཡང་	ཀྱང་	PART
ཕར་ཕྱིན་པ་	ཕར་ཕྱིན་པ་	NOUN
ན་	ན་	ADP
ལྷ་ཁང་	ལྷ་ཁང་	NOUN
ཞིག་	ཅིག་	PART
ན་	ན་	ADP
མི་	མི་	PART
ཞིག་	ཅིག་	PART
བརྒྱད་	བརྒྱད་	NUM
སྟོང་པ་	སྟོང་པ་	VERB
ཞིག་	ཅིག་	PART
ཀློག་	ཀློག་	VERB
གིན་	གིན་	PART
འདུག་པ་	འདུག་པ་	VERB
ལ་	ལ་	ADP
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
པཎྜི་ཏ་	པཎྜི་ཏ་	NOUN
འམ་	གམ་	PART
རྣལ་འབྱོར་པ་	རྣལ་འབྱོར་པ་	NOUN
འམ་	གམ་	PART
།		PUNCT
རབ་ཏུ་	རབ་ཏུ་	NO_POS
བྱུང་བ་	བྱུང་བ་	VERB
འམ་	གམ་	PART
ཅིས་	ཅིས་	NO_POS
གནས་	གནས་	NOUN
བྱས་པ་	བྱས་པ་	VERB
ས་	གིས་	PART
།		PUNCT
དེ་	དེ་	DET
ན་རེ་	ན་རེ་	ADP
།		PUNCT
རྣལ་འབྱོར་པ་	རྣལ་འབྱོར་པ་	NOUN
འི་	གི་	PART
ཆ་ལུགས་	ཆ་ལུགས་	NOUN
ཀྱིས་	གིས་	PART
གནས་	གནས་	NOUN
སོ་	སོ་	PART
ཟེར་བ་	ཟེར་བ་	VERB
ལ་	ལ་	ADP
།		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
གྱིས་	གིས་	PART
འོ་ན་	འོ་ན་	NO_POS
ཁྱོད་	ཁྱོད་	PRON
རྣལ་འབྱོར་བ་	རྣལ་འབྱོར་བ་	NOUN
ཀློག་	ཀློག་	VERB
བྱེད་	བྱེད་	VERB
ཨང་	ཨང་	NO_POS
གསུངས་པ་	གསུངས་པ་	VERB
ས་	གིས་	PART
།		PUNCT
འོ་ན་	འོ་ན་	NO_POS
ཁྱོད་	ཁྱོད་	PRON
ཀྱིས་	གིས་	PART
ཀློགས་	ཀློགས་	VERB
དང་	དང་	NO_POS
